Rank,domain,task,model,dataset,size,Group Key,Unified Score,Graph Density,Parameters (M) (Value),Parameters (M) (Rank),Parameters (M) (Weight),Training Time (s) (Value),Training Time (s) (Rank),Training Time (s) (Weight),Inference Time (s) (Value),Inference Time (s) (Rank),Inference Time (s) (Weight),MAE (Value),MAE (Rank),MAE (Weight),RMSE (Value),RMSE (Rank),RMSE (Weight),MAPE (%) (Value),MAPE (%) (Rank),MAPE (%) (Weight),R² (Value),R² (Rank),R² (Weight),Rel-L2 (Value),Rel-L2 (Rank),Rel-L2 (Weight),MaxAE (Value),MaxAE (Rank),MaxAE (Weight),MAC (Value),MAC (Rank),MAC (Weight)
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,S,vertical::disp_x,100.0,0.35,3.7788,5,0,704.3731,3,0,0.2238,1,0,0.2111,2,0.137,0.3535,1,0.1326,47.4333,3,0.1713,0.9085,1,0.1326,0.301,1,0.1326,6.0002,1,0.1443,0.9126,2.0,0.1495
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,S,vertical::disp_y,100.0,0.35,3.7788,5,0,704.3731,3,0,0.2238,1,0,0.2699,1,0.134,0.4822,1,0.134,78.2599,2,0.1568,0.8152,1,0.134,0.4299,1,0.134,8.8476,3,0.1662,0.9126,2.0,0.1409
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,S,vertical::disp_z,100.0,0.35,3.7788,5,0,704.3731,3,0,0.2238,1,0,0.2515,2,0.1356,0.3966,2,0.1356,45.0115,2,0.1356,0.8831,2,0.1356,0.3348,2,0.1356,4.4658,1,0.1754,0.9126,2.0,0.1467
1,dimension_3d,evaluation,transolver_pp,deepjeb_3d_2d,S,vertical::stress,100.0,0.3,1.7412,3,0,759.3616,4,0,0.4681,4,0,0.5305,1,0.1647,0.8047,1,0.1647,87.1937,1,0.1647,0.5707,1,0.1647,0.6551,1,0.1647,19.8004,1,0.1766,,,0.0
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,XL,diagonal::disp_x,100.0,0.4,3.7788,5,0,4234.25,1,0,0.3102,4,0,0.2418,1,0.1271,0.3946,1,0.1271,54.3884,1,0.1337,0.8657,1,0.1271,0.3583,1,0.1271,6.9903,1,0.2216,0.9433,1.0,0.1361
1,dimension_3d,evaluation,regdgcnn,deepjeb_3d_2d,XL,diagonal::disp_y,100.0,0.4,1.4418,1,0,10127.5625,5,0,0.2502,3,0,0.1663,3,0.1423,0.2872,3,0.133,53.2524,3,0.1449,0.9344,3,0.133,0.2561,3,0.133,5.662,1,0.169,0.9368,2.0,0.1449
1,dimension_3d,evaluation,regdgcnn,deepjeb_3d_2d,XL,diagonal::disp_z,100.0,0.4,1.4418,1,0,10127.5625,5,0,0.2502,3,0,0.2078,1,0.1312,0.2707,1,0.1312,42.8378,2,0.1797,0.9404,1,0.1312,0.2328,1,0.1312,3.0768,1,0.1503,0.9368,2.0,0.145
1,dimension_3d,evaluation,regdgcnn,deepjeb_3d_2d,XL,diagonal::stress,100.0,0.45,1.4418,1,0,10127.5625,5,0,0.2502,3,0,0.3888,2,0.119,0.6265,2,0.119,69.9738,2,0.119,0.7218,2,0.119,0.5218,2,0.119,18.5112,1,0.4048,,,0.0
1,dimension_3d,evaluation,transolver_pp,deepjeb_3d_2d,XL,horizontal::disp_x,100.0,0.45,1.7412,3,0,6664.5349,3,0,0.2214,2,0,0.1621,1,0.1269,0.2188,1,0.1269,46.3245,2,0.1574,0.9638,1,0.1269,0.1858,1,0.1269,4.5137,2,0.1919,0.9451,2.0,0.1431
1,dimension_3d,evaluation,regdgcnn,deepjeb_3d_2d,XL,horizontal::disp_y,100.0,0.4,1.4418,1,0,8438.4155,5,0,0.3936,5,0,0.2792,3,0.1112,0.4688,3,0.1112,67.0806,3,0.1112,0.8382,3,0.1112,0.4023,3,0.1112,12.6301,1,0.323,0.9233,3.0,0.1211
1,dimension_3d,evaluation,transolver_pp,deepjeb_3d_2d,XL,horizontal::disp_z,100.0,0.35,1.7412,3,0,6664.5349,3,0,0.2214,2,0,0.085,1,0.1336,0.1716,1,0.1336,18.3274,2,0.1428,0.9795,1,0.1336,0.143,1,0.1336,3.9128,2,0.1801,0.9451,2.0,0.1428
1,dimension_3d,evaluation,regdgcnn,deepjeb_3d_2d,XL,horizontal::stress,100.0,0.4,1.4418,1,0,8438.4155,5,0,0.3936,5,0,0.3958,3,0.1706,0.6777,3,0.1647,68.376,3,0.1706,0.6979,3,0.1647,0.5496,3,0.1647,21.1958,3,0.1647,,,0.0
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,XL,mode_shape_1::mode_x,100.0,0.35,3.7785,5,0,3060.4273,1,0,0.2192,4,0,0.8633,1,0.1362,1.1916,1,0.1361,188.6666,4,0.1428,0.0003,1,0.1361,0.9998,1,0.1361,15.5788,2,0.1562,0.0499,3.0,0.1564
1,dimension_3d,evaluation,geofno,deepjeb_3d_2d,XL,mode_shape_1::mode_y,100.0,0.45,1.5457,2,0,3972.9751,3,0,0.1928,2,0,0.7952,3,0.1116,1.1694,3,0.1135,166.4448,3,0.1155,-0.0056,3,0.1135,1.0028,3,0.1135,15.1233,1,0.3043,0.011,4.0,0.128
1,dimension_3d,evaluation,pointnet,deepjeb_3d_2d,XL,mode_shape_1::mode_z,100.0,0.35,3.6681,4,0,3105.3932,2,0,0.1906,1,0,0.9804,1,0.1379,1.2124,1,0.1379,199.1665,5,0.1379,0.0,1,0.1379,1.0,1,0.1379,8.0506,2,0.1685,0.0066,5.0,0.1422
