Rank,domain,task,model,dataset,size,Unified Score,Graph Density,Parameters (M) (Value),Parameters (M) (Rank),Parameters (M) (Weight),Training Time (s) (Value),Training Time (s) (Rank),Training Time (s) (Weight),Inference Time (s) (Value),Inference Time (s) (Rank),Inference Time (s) (Weight),MS-SSIM (Value),MS-SSIM (Rank),MS-SSIM (Weight),MV-FID (Value),MV-FID (Rank),MV-FID (Weight),FPD (Value),FPD (Rank),FPD (Weight),MMD-CD (Value),MMD-CD (Rank),MMD-CD (Weight),COV-CD (Value),COV-CD (Rank),COV-CD (Weight),1-NNA-CD (Value),1-NNA-CD (Rank),1-NNA-CD (Weight),Precision (Value),Precision (Rank),Precision (Weight),Density (Value),Density (Rank),Density (Weight),Recall (Value),Recall (Rank),Recall (Weight),Coverage (Value),Coverage (Rank),Coverage (Weight),Manifold-Δ (Value),Manifold-Δ (Rank),Manifold-Δ (Weight),Uniformity-Δ (Value),Uniformity-Δ (Rank),Uniformity-Δ (Weight)
4,dimension_3d,generation,gan3d,deepwheel_3d_3d,M,40.4267,0.5,74.9842,6,0,22701.5326,5,0,0.2156,3,0,0.2537,2,0.1782,255.9194,4,0.0721,23.4869,4,0.0721,16.8964,5,0.0765,0.008,5,0.0785,1.0,3,0.0711,0.0,3,0.0711,0.0,3,0.0711,0.0,4,0.0791,0.0,3,0.0711,0.0674,6,0.0765,0.0938,3,0.0826
4,dimension_3d,generation,gan3d,deepwheel_3d_3d,S,40.0593,0.5,74.9842,6,0,3616.6472,5,0,0.211,4,0,0.3112,4,0.077,386.43,5,0.0761,117.7237,5,0.072,17.2956,5,0.072,0.036,5,0.1541,1.0,2,0.0759,0.0,2,0.0759,0.0,2,0.0759,0.0,3,0.0736,0.0,2,0.0759,0.0455,5,0.077,0.2458,4,0.0949
4,dimension_3d,generation,atlasnet,deepwheel_3d_3d,XL,40.0,0.5,28.7681,5,0,1558.995,3,0,0.0047,1,0,0.2919,4,0.0761,133.6154,3,0.0761,13.5056,4,0.0867,3.8747,3,0.0811,0.082,3,0.0811,1.0,3,0.0795,0.0,3,0.0744,0.0,3,0.0744,0.0,4,0.0867,0.0,3,0.0744,0.0132,2,0.1286,0.2889,5,0.0809
4,dimension_3d,generation,atlasnet,drivaernet_3d_3d,L,40.4617,0.5,28.7681,5,0,1540.5066,3,0,0.0042,1,0,0.669,5,0.2274,98.8415,3,0.0644,37.6649,3,0.0616,1.9642,2,0.0698,0.144,2,0.0767,1.0,2,0.0844,0.0,3,0.0636,0.0,3,0.0676,0.0,3,0.0636,0.0,3,0.0636,0.0243,2,0.0816,0.2628,5,0.0755
4,dimension_3d,generation,atlasnet,drivaernet_3d_3d,M,40.443,0.5,28.7681,5,0,1193.8569,3,0,0.0042,1,0,0.6614,4,0.1476,162.876,3,0.0728,33.5614,3,0.0742,2.2441,3,0.0728,0.136,3,0.0742,1.0,2,0.1216,0.0,3,0.0718,0.0,3,0.0718,0.0,3,0.0718,0.0,3,0.0718,0.0549,4,0.0713,0.1788,5,0.0785
4,dimension_3d,generation,gan3d,drivaernet_3d_3d,S,40.2775,0.5,74.9842,6,0,18621.6503,6,0,0.219,4,0,0.6535,4,0.0669,330.7602,4,0.0318,268.1508,5,0.0383,7.6606,3,0.0356,0.244,3,0.0345,1.0,2,0.0352,0.0,1,0.2073,0.0,1,0.2073,0.0,2,0.0352,0.0,1,0.2073,0.0969,4,0.0318,0.1514,3,0.0689
4,dimension_3d,generation,atlasnet,drivaernet_3d_3d,XL,40.1253,0.5,28.7681,5,0,1624.9709,3,0,0.0041,1,0,0.6553,5,0.1915,81.7129,3,0.077,26.6567,5,0.0703,1.9916,3,0.067,0.15,3,0.0716,1.0,3,0.1034,0.0,3,0.0635,0.0,3,0.0635,0.0,4,0.0666,0.0,3,0.0635,0.0169,2,0.0829,0.2903,6,0.0793
5,dimension_3d,generation,shapegf,deepjeb_3d_3d,L,40.0728,0.5,4.8622,4,0,316.5384,1,0,0.2744,5,0,0.4493,2,0.1612,445.6851,6,0.0768,82.2087,6,0.0685,6.9606,5,0.0736,0.164,3,0.1169,1.0,4,0.0678,0.0,3,0.0645,0.0,3,0.0645,0.0,3,0.0677,0.0,3,0.0645,0.16,5,0.0813,0.3248,5,0.0927
5,dimension_3d,generation,gan3d,deepjeb_3d_3d,M,39.0,0.5,74.9842,6,0,52851.3409,6,0,0.2219,4,0,0.4455,1,0.1932,347.1741,4,0.0856,40.2318,4,0.0672,21.7322,5,0.0672,0.014,5,0.0843,1.0,3,0.0685,0.0,3,0.0685,0.0,3,0.0685,0.0,3,0.0685,0.0,3,0.0685,0.0598,2,0.0856,0.0556,2,0.0745
5,dimension_3d,generation,diffusionpointcloud,deepjeb_3d_3d,S,40.0,0.5,3.8798,3,0,145.7171,2,0,0.0195,2,0,0.6437,5,0.2474,437.4261,6,0.0765,80.531,4,0.0666,6.133,4,0.0666,0.032,5,0.0674,1.0,3,0.063,0.0,3,0.063,0.0,3,0.063,0.0,2,0.0706,0.0,3,0.063,0.17,6,0.0765,0.1134,3,0.0765
