Model Name,Domain,Task,Parameters (M),Resolution,Dataset,Data Scale,Data Size,Training Time (s),Inference Time (s),MV-FID ↓,FPD ↓,MMD-CD ↓,COV-CD ↑,1-NNA-CD ↓,MS-SSIM ↓,Precision ↑,Recall ↑,Density ↑,Coverage ↑,Manifold-Δ ↓,Uniformity-Δ ↓
pointflow,dimension_3d,generation,1.4268,8192,deepwheel_3d_3d,Medium,50,43269.9281,0.3887,155.482,5.9125,3.8906,0.236,0.998,0.2757,0.022,0.274,0.0056,0.026,0.0131,0.0155
pointflow,dimension_3d,generation,1.4268,8192,deepwheel_3d_3d,Large,100,220132.5913,0.1887,125.1347,4.4462,3.7817,0.238,0.984,0.2665,0.286,0.35,0.1376,0.316,0.0164,0.0119
pointflow,dimension_3d,generation,1.4268,8192,deepwheel_3d_3d,Extra Large,200,468938.6541,0.2465,120.5905,4.1904,3.7284,0.268,0.974,0.2649,0.45,0.356,0.2464,0.442,0.0159,0.0203
pointflow,dimension_3d,generation,1.4268,8192,drivaernet_3d_3d,Small,20,12630.9803,0.0817,134.8389,9.0798,2.0916,0.352,0.981,0.652,0.0,0.016,0.0,0.0,0.0469,0.0626
pointflow,dimension_3d,generation,1.4268,8192,drivaernet_3d_3d,Medium,50,46946.2861,0.0958,113.7816,6.4864,1.9382,0.388,0.852,0.6484,0.004,0.098,0.0008,0.004,0.0432,0.0297
pointflow,dimension_3d,generation,1.4268,8192,drivaernet_3d_3d,Large,100,148843.1737,0.1298,67.2838,3.951,1.7878,0.384,0.868,0.6549,0.196,0.454,0.0752,0.232,0.0264,0.014
pointflow,dimension_3d,generation,1.4268,8192,drivaernet_3d_3d,Extra Large,200,479880.2307,0.1908,40.5325,3.042,1.6788,0.484,0.801,0.6535,0.452,0.704,0.2704,0.608,0.0137,0.01
shapegf,dimension_3d,generation,4.8622,8192,deepjeb_3d_3d,Small,20,84.5329,0.2743,413.3026,413.6137,66.4607,0.018,1.0,0.7255,0.0,0.0,0.0,0.0,0.1655,0.3407
shapegf,dimension_3d,generation,4.8622,8192,deepjeb_3d_3d,Medium,50,127.3395,0.2758,444.2951,382.9511,64.6546,0.004,1.0,0.7486,0.0,0.0,0.0,0.0,0.1668,0.3347
shapegf,dimension_3d,generation,4.8622,8192,deepjeb_3d_3d,Large,100,316.5384,0.2744,445.6851,82.2087,6.9606,0.164,1.0,0.4493,0.0,0.0,0.0,0.0,0.16,0.3248
shapegf,dimension_3d,generation,4.8622,8192,deepjeb_3d_3d,Extra Large,200,299.2823,0.2773,438.033,80.9341,11.4505,0.026,1.0,0.5497,0.0,0.0,0.0,0.0,0.1569,0.2396
shapegf,dimension_3d,generation,4.8622,8192,deepwheel_3d_3d,Small,20,35.4272,0.2728,392.8697,275.1305,70.0486,0.044,1.0,0.5931,0.0,0.0,0.0,0.0,0.045,0.4839
shapegf,dimension_3d,generation,4.8622,8192,deepwheel_3d_3d,Medium,50,85.6032,0.2802,343.7376,93.3075,44.546,0.034,1.0,0.2467,0.0,0.0,0.0,0.0,0.0469,0.3942
shapegf,dimension_3d,generation,4.8622,8192,deepwheel_3d_3d,Large,100,97.4262,0.2738,404.9437,171.9442,128.004,0.026,1.0,0.288,0.0,0.0,0.0,0.0,0.0566,0.2539
shapegf,dimension_3d,generation,4.8622,8192,deepwheel_3d_3d,Extra Large,200,182.3457,0.2728,305.1832,90.9052,24.2324,0.03,1.0,0.3786,0.0,0.0,0.0,0.0,0.0405,0.7805
shapegf,dimension_3d,generation,4.8622,8192,drivaernet_3d_3d,Small,20,69.6279,0.274,353.4191,347.6156,63.9041,0.014,1.0,0.8024,0.0,0.0,0.0,0.0,0.1358,0.4249
shapegf,dimension_3d,generation,4.8622,8192,drivaernet_3d_3d,Medium,50,125.544,0.2742,360.8506,292.7687,72.6464,0.01,1.0,0.8457,0.0,0.0,0.0,0.0,0.1391,0.3216
shapegf,dimension_3d,generation,4.8622,8192,drivaernet_3d_3d,Large,100,229.3511,0.2743,323.1785,102.6595,7.9648,0.056,1.0,0.5652,0.0,0.0,0.0,0.0,0.1177,0.5695
shapegf,dimension_3d,generation,4.8622,8192,drivaernet_3d_3d,Extra Large,200,508.1662,0.2819,274.6514,23.1613,3.2183,0.094,1.0,0.6407,0.0,0.0,0.0,0.0,0.0682,0.1369
