Rank,domain,task,model,dataset,size,Group Key,Unified Score,Graph Density,Parameters (M) (Value),Parameters (M) (Rank),Parameters (M) (Weight),Training Time (s) (Value),Training Time (s) (Rank),Training Time (s) (Weight),Inference Time (s) (Value),Inference Time (s) (Rank),Inference Time (s) (Weight),MAE (Value),MAE (Rank),MAE (Weight),RMSE (Value),RMSE (Rank),RMSE (Weight),MAPE (%) (Value),MAPE (%) (Rank),MAPE (%) (Weight),R² (Value),R² (Rank),R² (Weight),Rel-L2 (Value),Rel-L2 (Rank),Rel-L2 (Weight),MaxAE (Value),MaxAE (Rank),MaxAE (Weight),MAC (Value),MAC (Rank),MAC (Weight)
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,S,diagonal::disp_x,100.0,0.5,3.7788,4,0.1465,735.1508,2,0.1726,0.2244,1,0.179,0.4189,1,0.069,0.6398,1,0.069,81.6781,2,0.0767,0.6469,1,0.069,0.5809,1,0.069,8.4859,1,0.0819,0.8217,2.0,0.0671
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,S,diagonal::disp_y,100.0,0.5,3.7788,4,0.1212,735.1508,2,0.1704,0.2244,1,0.1704,0.287,2,0.0717,0.5216,2,0.0717,69.3538,1,0.0991,0.7836,2,0.0717,0.4652,2,0.0717,7.7525,1,0.0802,0.8217,2.0,0.0717
1,dimension_3d,evaluation,regdgcnn,deepjeb_3d_2d,S,diagonal::disp_z,100.0,0.5,1.4418,1,0.0925,769.7379,4,0.1945,0.2503,4,0.182,0.2703,1,0.0742,0.3839,1,0.0742,45.674,1,0.0795,0.8801,1,0.0742,0.3301,1,0.0742,4.2748,1,0.0773,0.8378,1.0,0.0773
1,dimension_3d,evaluation,regdgcnn,deepjeb_3d_2d,S,diagonal::stress,100.0,0.5,1.4418,1,0.1329,769.7379,4,0.1495,0.2503,4,0.1616,0.5363,1,0.0906,0.8221,1,0.0906,89.803,1,0.0906,0.521,1,0.0906,0.6847,1,0.0906,19.4236,1,0.1031,,,0.0
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,S,horizontal::disp_x,100.0,0.5,3.7788,4,0.1271,699.8498,2,0.1303,0.2228,1,0.1489,0.2769,2,0.0745,0.4765,2,0.0745,57.5974,2,0.0745,0.8283,2,0.0745,0.4047,2,0.0745,8.2423,4,0.1372,0.8431,1.0,0.0841
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,S,horizontal::disp_y,100.0,0.5,3.7788,4,0.1164,699.8498,2,0.1653,0.2228,1,0.1192,0.4495,2,0.0765,0.7226,3,0.0732,91.9774,2,0.0765,0.6156,3,0.0732,0.62,3,0.0732,11.4939,1,0.1281,0.8431,1.0,0.0985
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,S,horizontal::disp_z,100.0,0.5,3.7788,4,0.1126,699.8498,2,0.152,0.2228,1,0.1558,0.2354,3,0.0769,0.4658,3,0.0769,37.7919,2,0.0856,0.8489,3,0.0769,0.3882,3,0.0769,7.1586,3,0.0833,0.8431,1.0,0.103
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,S,horizontal::stress,100.0,0.5,3.7788,4,0.12,699.8498,2,0.1611,0.2228,1,0.17,0.5817,3,0.0862,0.8917,3,0.0862,96.6656,3,0.0862,0.477,3,0.0862,0.7232,3,0.0862,18.9071,2,0.1177,,,0.0
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,S,mode_shape_1::mode_x,100.0,0.5,3.7785,4,0.1421,438.9483,2,0.1222,0.2571,4,0.1072,0.8944,2,0.0815,1.262,2,0.0764,158.5782,4,0.0764,-0.1213,2,0.0764,1.0589,2,0.0764,15.725,4,0.1651,0.3755,4.0,0.0764
1,dimension_3d,evaluation,pointnet,deepjeb_3d_2d,S,mode_shape_1::mode_y,100.0,0.5,3.6681,3,0.1167,409.3443,1,0.1262,0.1901,1,0.1085,0.7933,1,0.0783,1.1697,1,0.0783,170.961,5,0.0803,-0.0061,1,0.0783,1.0031,1,0.0783,15.1659,4,0.1767,0.0916,5.0,0.0783
