Model Name,Domain,Task,Parameters (M),Resolution,Dataset,Data Scale,Data Size,Training Time (s),Inference Time (s),IS ↑,FID ↓,MS-SSIM ↓,LPIPS ↑,PSNR ↑,Precision ↑,Recall ↑,Density ↑,Coverage ↑
vae,dimension_2d,generation,50.718,128x128,drivaernet_2d_2d,Medium,100.0,1732.7394,0.005,1.7794,189.8464,0.8089,0.1784,13.7756,0.0,0.008,0.0,0.0
vae,dimension_2d,generation,50.718,128x128,drivaernet_2d_2d,Large,200.0,1904.5339,0.0046,1.8314,166.8768,0.7255,0.1991,13.2821,0.018,0.0,0.0036,0.014
vae,dimension_2d,generation,50.718,128x128,drivaernet_2d_2d,Extra Large,500.0,1982.78,0.0045,1.8577,170.3842,0.7129,0.2149,13.1455,0.002,0.002,0.0004,0.002
vqvae,dimension_2d,generation,4.8899,128x128,deepjeb_2d_2d,Small,50.0,175.3436,0.0072,1.3934,173.6755,0.8399,0.074,21.5209,0.0,0.0,0.0,0.0
vqvae,dimension_2d,generation,4.8899,128x128,deepjeb_2d_2d,Medium,100.0,211.4058,0.0057,1.4156,116.2771,0.8066,0.09,21.5326,0.0,0.0,0.0,0.0
vqvae,dimension_2d,generation,4.8899,128x128,deepjeb_2d_2d,Large,200.0,238.157,0.0064,1.4623,69.8645,0.817,0.0918,21.3261,0.084,0.0,0.0184,0.022
vqvae,dimension_2d,generation,4.8899,128x128,deepjeb_2d_2d,Extra Large,500.0,375.5313,0.0043,1.4382,49.5319,0.8055,0.1037,21.2191,0.452,0.028,0.1868,0.214
vqvae,dimension_2d,generation,4.8899,128x128,deepwheel_2d_2d,Small,50.0,828.7979,0.0394,1.951,283.4209,0.4436,0.1713,10.1196,0.0,0.0,0.0,0.0
vqvae,dimension_2d,generation,4.8899,128x128,deepwheel_2d_2d,Medium,100.0,1768.3556,0.0043,2.0488,300.1424,0.4541,0.1762,10.3294,0.0,0.0,0.0,0.0
vqvae,dimension_2d,generation,4.8899,128x128,deepwheel_2d_2d,Large,200.0,2095.3378,0.037,2.1125,261.0981,0.4581,0.1874,10.3984,0.006,0.0,0.0012,0.006
vqvae,dimension_2d,generation,4.8899,128x128,deepwheel_2d_2d,Extra Large,500.0,3795.3391,0.0052,2.137,219.9245,0.4787,0.1992,10.4756,0.028,0.002,0.006,0.014
vqvae,dimension_2d,generation,4.8899,128x128,drivaernet_2d_2d,Small,50.0,85.9938,0.0061,1.5978,334.8242,0.7367,0.178,12.2673,0.0,0.0,0.0,0.0
vqvae,dimension_2d,generation,4.8899,128x128,drivaernet_2d_2d,Medium,100.0,200.0346,0.0074,3.1363,323.6475,0.6841,0.2374,12.8269,0.0,0.034,0.0,0.0
vqvae,dimension_2d,generation,4.8899,128x128,drivaernet_2d_2d,Large,200.0,245.5092,0.005,3.051,280.6485,0.655,0.248,12.6224,0.0,0.0,0.0,0.0
vqvae,dimension_2d,generation,4.8899,128x128,drivaernet_2d_2d,Extra Large,500.0,367.0282,0.005,2.4623,229.6676,0.6802,0.2205,12.5377,0.0,0.002,0.0,0.0
wgan_cp,dimension_2d,generation,23.9471,128x128,deepjeb_2d_2d,Small,50.0,324.8096,0.0065,1.1709,284.1972,0.8838,0.1161,18.5566,0.0,0.0,0.0,0.0
wgan_cp,dimension_2d,generation,23.9471,128x128,deepjeb_2d_2d,Medium,100.0,258.9627,0.0087,1.1064,273.3584,0.9473,0.0571,18.7328,0.0,0.0,0.0,0.0
wgan_cp,dimension_2d,generation,23.9471,128x128,deepjeb_2d_2d,Large,200.0,236.3978,0.0098,1.1399,279.2156,0.9569,0.0504,18.9677,0.0,0.0,0.0,0.0
wgan_cp,dimension_2d,generation,23.9471,128x128,deepjeb_2d_2d,Extra Large,500.0,364.68,0.0037,1.2058,318.1656,0.8374,0.0874,20.3588,0.0,0.0,0.0,0.0
