Rank,domain,task,model,dataset,size,Unified Score,Graph Density,Parameters (M) (Value),Parameters (M) (Rank),Parameters (M) (Weight),Training Time (s) (Value),Training Time (s) (Rank),Training Time (s) (Weight),Inference Time (s) (Value),Inference Time (s) (Rank),Inference Time (s) (Weight),MS-SSIM (Value),MS-SSIM (Rank),MS-SSIM (Weight),MV-FID (Value),MV-FID (Rank),MV-FID (Weight),FPD (Value),FPD (Rank),FPD (Weight),MMD-CD (Value),MMD-CD (Rank),MMD-CD (Weight),COV-CD (Value),COV-CD (Rank),COV-CD (Weight),1-NNA-CD (Value),1-NNA-CD (Rank),1-NNA-CD (Weight),Precision (Value),Precision (Rank),Precision (Weight),Density (Value),Density (Rank),Density (Weight),Recall (Value),Recall (Rank),Recall (Weight),Coverage (Value),Coverage (Rank),Coverage (Weight),Manifold-Δ (Value),Manifold-Δ (Rank),Manifold-Δ (Weight),Uniformity-Δ (Value),Uniformity-Δ (Rank),Uniformity-Δ (Weight)
4,dimension_3d,generation,gan3d,drivaernet_3d_3d,M,40.1666,0.5,74.9842,6,0.0708,51178.029,6,0.0981,0.219,4,0.0755,0.6077,1,0.0981,235.178,4,0.0574,42.0128,4,0.0584,5.656,4,0.0574,0.044,4,0.0584,1.0,2,0.0927,0.0,3,0.0553,0.0,3,0.0553,0.0,3,0.0553,0.0,3,0.0553,0.0436,3,0.0539,0.0722,3,0.0579
4,dimension_3d,generation,diffusionpointcloud,drivaernet_3d_3d,S,40.5685,0.5,3.8798,3,0.0357,63.3818,1,0.0419,0.0197,2,0.0438,0.7914,5,0.0519,381.7246,6,0.0266,127.7804,3,0.0285,15.0647,4,0.0293,0.008,6,0.0285,1.0,2,0.0284,0.0,1,0.1971,0.0,1,0.1971,0.0,2,0.0284,0.0,1,0.1971,0.1406,6,0.0266,0.2704,4,0.0394
4,dimension_3d,generation,atlasnet,drivaernet_3d_3d,XL,40.1079,0.5,28.7681,5,0.0557,1624.9709,3,0.0556,0.0041,1,0.0924,0.6553,5,0.1447,81.7129,3,0.0623,26.6567,5,0.0557,1.9916,3,0.0556,0.15,3,0.0587,1.0,3,0.0836,0.0,3,0.0511,0.0,3,0.0511,0.0,4,0.0535,0.0,3,0.0511,0.0169,2,0.0676,0.2903,6,0.0612
5,dimension_3d,generation,shapegf,deepjeb_3d_3d,L,40.0086,0.5,4.8622,4,0.0658,316.5384,1,0.067,0.2744,5,0.1035,0.4493,2,0.1154,445.6851,6,0.0634,82.2087,6,0.0529,6.9606,5,0.0575,0.164,3,0.0926,1.0,4,0.0535,0.0,3,0.049,0.0,3,0.049,0.0,3,0.051,0.0,3,0.049,0.16,5,0.0626,0.3248,5,0.0678
5,dimension_3d,generation,gan3d,deepjeb_3d_3d,M,39.0,0.5,74.9842,6,0.0724,52851.3409,6,0.0641,0.2219,4,0.0583,0.4455,1,0.1486,347.1741,4,0.0768,40.2318,4,0.0545,21.7322,5,0.0545,0.014,5,0.0641,1.0,3,0.0543,0.0,3,0.0543,0.0,3,0.0543,0.0,3,0.0543,0.0,3,0.0543,0.0598,2,0.0768,0.0556,2,0.0583
5,dimension_3d,generation,diffusionpointcloud,deepjeb_3d_3d,S,40.0,0.5,3.8798,3,0.0658,145.7171,2,0.1227,0.0195,2,0.069,0.6437,5,0.1575,437.4261,6,0.0627,80.531,4,0.0526,6.133,4,0.0526,0.032,5,0.0497,1.0,3,0.0479,0.0,3,0.0479,0.0,3,0.0479,0.0,2,0.0561,0.0,3,0.0479,0.17,6,0.0627,0.1134,3,0.0569
5,dimension_3d,generation,gan3d,deepjeb_3d_3d,XL,40.4015,0.5,74.9842,6,0.0573,104385.7925,6,0.0933,0.2202,4,0.1171,0.4197,1,0.1196,331.7619,5,0.0517,79.7041,5,0.0517,12.3956,6,0.0565,0.128,4,0.066,1.0,5,0.054,0.0,4,0.0512,0.0,4,0.0512,0.0,3,0.0497,0.0,4,0.0512,0.0596,2,0.0639,0.109,4,0.0655
5,dimension_3d,generation,gan3d,deepwheel_3d_3d,L,40.3997,0.5,74.9842,6,0.0724,32409.1128,5,0.0736,0.2185,4,0.1152,0.1902,1,0.0935,255.1067,4,0.0536,23.2564,4,0.0552,17.959,5,0.0739,0.006,5,0.0593,1.0,4,0.0633,0.0,3,0.0526,0.0,3,0.0526,0.0,3,0.0548,0.0,3,0.0526,0.0686,6,0.0681,0.1078,3,0.0593
5,dimension_3d,generation,diffusionpointcloud,deepwheel_3d_3d,M,40.0,0.5,3.8798,3,0.0691,190.3855,2,0.0917,0.0199,2,0.063,0.39,6,0.1243,354.0642,6,0.0582,56.5684,5,0.0582,8.9107,4,0.0624,0.004,6,0.0615,1.0,3,0.056,0.0,3,0.056,0.0,3,0.056,0.0,4,0.0621,0.0,3,0.056,0.0562,5,0.0624,0.153,4,0.063
5,dimension_3d,generation,gan3d,deepwheel_3d_3d,S,40.0,0.5,74.9842,6,0.0751,3616.6472,5,0.1377,0.211,4,0.0696,0.3112,4,0.0571,386.43,5,0.0577,117.7237,5,0.0523,17.2956,5,0.0523,0.036,5,0.0993,1.0,2,0.0566,0.0,2,0.0566,0.0,2,0.0566,0.0,3,0.0509,0.0,2,0.0566,0.0455,5,0.0571,0.2458,4,0.0647
5,dimension_3d,generation,gan3d,deepwheel_3d_3d,XL,39.0,0.5,74.9842,6,0.0666,49958.9682,5,0.0643,0.2133,3,0.0642,0.2557,1,0.0621,390.4872,6,0.0621,172.9725,6,0.0666,174.283,6,0.0643,0.004,6,0.0643,1.0,3,0.0621,0.0,3,0.0599,0.0,3,0.0599,0.0,4,0.0666,0.0,3,0.0599,0.0136,3,0.1128,0.1603,4,0.0642
